# ----------------------------------------
# Reports snapshot
# Account: emojicircle.com
# Property: emojicircle
# ----------------------------------------
#  
# Start date: 20260201
# End date: 20260729
Nth day,Active users
0171,6.5
0172,18.444444444444443
0173,8.055555555555555
0174,106.9090909090909
0175,45.76190476190476
0176,18.11764705882353
0177,31.42105263157895
0178,12.909090909090908

# Start date: 20260201
# End date: 20260729
Nth day,Total revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0

# Where do your new users come from?
# Start date: 20260201
# End date: 20260729
First user primary channel group (Default Channel Group),New users
Direct,1095
Organic Search,147
Referral,15
Unassigned,11
Organic Social,6
AI Assistant,1

#  
# Start date: 20260201
# End date: 20260729
Session primary channel group (Default Channel Group),Sessions
Direct,1321
Organic Search,236
Unassigned,42
Referral,33
Organic Social,6
AI Assistant,1

#  
# Start date: 20260201
# End date: 20260729
Country ID,Active users
AE,2
AR,2
AU,6
AZ,1
BD,4
BG,1
BO,1
BR,9
CA,2
CI,1
CL,1
CN,451
DE,14
DZ,1
EC,1
EG,1
FI,1
FR,9
GB,17
HK,6
ID,5
IE,3
IL,1
IN,169
IQ,3
IR,1
IS,1
IT,2
JP,17
KE,1
KR,2
KZ,1
LB,1
LU,1
LV,1
MA,1
ML,1
MN,1
MX,3
MY,3
NL,1
NO,1
PH,4
PK,7
PL,11
PS,2
RO,1
SA,2
SE,2
SG,395
SO,1
SY,1
TR,2
TW,3
UA,2
US,94
UY,1
VN,11
ZA,3

# Start date: 20260201
# End date: 20260729
Country,Active users
CN,451
SG,395
IN,169
US,94
GB,17
JP,17
DE,14

# How are active users trending?
# Start date: 20260201
# End date: 20260729
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,6,6,6
0007,14,14,10
0008,19,19,6
0009,32,32,15
0010,37,37,5
0011,37,37,0
0012,38,38,2
0013,40,37,3
0014,47,36,11
0015,51,35,7
0016,53,24,4
0017,54,20,1
0018,55,21,2
0019,57,22,2
0020,58,22,1
0021,58,15,2
0022,59,11,1
0023,59,9,1
0024,59,8,0
0025,60,8,1
0026,62,8,2
0027,64,10,5
0028,69,13,7
0029,72,15,4
0030,75,18,7
0031,75,19,3
0032,88,32,14
0033,95,37,8
0034,98,38,3
0035,102,37,9
0036,106,43,11
0037,100,40,3
0038,97,42,2
0039,97,44,13
0040,97,42,5
0041,98,40,1
0042,97,34,0
0043,97,26,2
0044,103,38,16
0045,99,37,2
0046,102,29,7
0047,107,30,9
0048,109,32,6
0049,108,33,5
0050,109,34,4
0051,117,28,12
0052,118,31,3
0053,123,32,8
0054,129,34,12
0055,141,45,20
0056,141,46,3
0057,139,45,0
0058,136,37,3
0059,135,36,3
0060,131,32,2
0061,131,25,1
0062,121,7,0
0063,114,5,0
0064,112,6,1
0065,109,7,2
0066,103,7,2
0067,101,5,0
0068,99,5,0
0069,88,7,2
0070,84,8,1
0071,83,7,0
0072,83,5,0
0073,83,5,2
0074,70,6,1
0075,70,6,0
0076,67,5,1
0077,64,5,1
0078,62,6,1
0079,61,6,0
0080,61,5,1
0081,52,4,0
0082,51,5,1
0083,46,4,0
0084,41,5,2
0085,23,4,0
0086,23,6,2
0087,27,9,4
0088,27,10,1
0089,40,23,14
0090,52,36,13
0091,55,37,3
0092,60,42,5
0093,65,45,5
0094,90,67,26
0095,102,80,15
0096,102,68,2
0097,104,57,2
0098,109,59,5
0099,124,71,17
0100,132,75,9
0101,135,53,3
0102,138,41,3
0103,140,43,4
0104,142,44,3
0105,150,47,8
0106,154,35,5
0107,159,32,6
0108,162,33,4
0109,169,37,7
0110,174,39,6
0111,181,43,8
0112,194,49,14
0113,198,48,5
0114,208,54,12
0115,216,59,8
0116,219,57,5
0117,219,56,5
0118,226,57,8
0119,219,50,8
0120,214,53,8
0121,214,44,3
0122,212,40,4
0123,212,41,5
0124,192,41,5
0125,187,42,9
0126,192,42,8
0127,199,43,11
0128,202,48,9
0129,200,60,15
0130,200,65,9
0131,209,72,12
0132,213,70,7
0133,214,68,6
0134,217,64,6
0135,215,61,6
0136,216,52,6
0137,219,52,9
0138,224,48,8
0139,224,48,7
0140,221,45,3
0141,223,48,10
0142,219,53,12
0143,219,51,5
0144,213,48,6
0145,217,53,12
0146,218,51,5
0147,217,51,3
0148,215,48,6
0149,211,41,4
0150,210,43,7
0151,213,44,7
0152,219,41,9
0153,224,45,9
0154,231,54,13
0155,234,60,13
0156,236,65,9
0157,232,64,6
0158,243,77,20
0159,242,83,15
0160,244,86,11
0161,236,78,4
0162,508,344,279
0163,522,354,23
0164,535,367,25
0165,545,363,22
0166,551,360,14
0167,556,363,14
0168,557,367,8
0169,560,105,11
0170,568,97,12
0171,573,92,14
0172,571,80,9
0173,583,85,18
0174,587,82,11
0175,594,95,21
0176,604,100,17
0177,619,106,19
0178,623,103,11

# How well do you retain your users?
# Start date: 20260614
# End date: 20260725
Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
Jun 14 - Jun 20,47,1,1,1
Jun 21 - Jun 27,49,0,0,0
Jun 28 - Jul 4,44,1,0,0
Jul 5 - Jul 11,83,0,0,-1
Jul 12 - Jul 18,356,4,-1,-1
Jul 19 - Jul 25,75,-1,-1,-1

#  
# Start date: 20260201
# End date: 20260729
Page title and screen class,Views
"EmojiCircle — Emoji Games, Globe, Library & Blog",1362
"Play Emoji Games Online – Tic Tac Toe, Quiz & More | EmojiCircle",930
Emoji Sequence Remember 🧠 | Memory Pattern Game,843
Search & Copy Emojis – EmojiCircle,622
2048 Extreme: Emoji Edition 🧩 | The Ultimate Brain Puzzle,374
Emoji Flappy Bird – Free Online Flappy Game with Emojis | EmojiCircle,356
Emoji Chess Game – Play Online Free | 1 Player vs Computer & 2 Player | EmojiCircle,350
Emoji Quiz Game,320
Emoji Games Online | Search & Copy Emojis,309
Emoji Quiz – Guess Countries from Emojis | Free Online Game | EmojiCircle,295
Emoji Minesweeper – Play Online Free | EmojiCircle,238
Emoji Snake Game – Play Classic Snake with Emojis Online Free | EmojiCircle,210
"Emoji Blog – Articles on Emoji History, AI & Culture | EmojiCircle",204
2048 Extreme,175
Emoji Tic Tac Toe – Play Online Free vs Computer or Friend | EmojiCircle,175
Spot the Different Emoji 🔍 | Visual Puzzle Game,154
Emoji Rock Paper Scissors | Fun Multiplayer Emoji Game,151
Emoji Racing Game 🏁 | Fast-Paced Arcade Action,149
Bollywood Emoji Quiz Game 🎬 | Guess the Movie,148
Emoji Othello Game ♟️ | Classic Reversi Board Game,111
Emoji Crush Game 🍬 | Match-3 Emoji Puzzle,99
Emoji Racing 🏁,99
Emoji Memory Flip – Match Emoji Pairs Online Free | EmojiCircle,95
Emoji Compatibility Calculator 💘 | Test Your Love,85
Emoji Tic Tac Toe,77
New Emojis 2025-2026: Emoji 17.0 Guide | EmojiCircle,75
"Food Emojis 🍔 | Fruits, Drinks, Desserts & Fast Food – EmojiCircle",69
Smileys Emojis 😀 | Complete Smiley Emoji List – EmojiCircle,69
"Animal Emojis 🐾 | Mammals, Birds, Marine Life & Nature – EmojiCircle",67
Flip the Emoji & Match Them,67
"Flag Emojis 🏳️ | Country Flags, Pride Flags & Subdivision Flags – EmojiCircle",62
"People Emojis 👤 | Gestures, Professions & Family – EmojiCircle",60
Hollywood Emoji Quiz 🍿 | Guess the Movie from Emojis,58
Guess My Mood Emoji Game 🤔 | Read the Emotions,53
Emoji Crush — EmojiCircle,51
History of Emojis: From Japan to Your Pocket | EmojiCircle,50
Emoji Personality Test ✨ | Discover Your Persona,41
Unicode & Emojis: How They Work Everywhere | EmojiCircle,41
About EmojiCircle,40
Document,40
"Symbol Emojis 💖 | Hearts, Arrows, Zodiac, Warning Signs – EmojiCircle",38
Muskan Emojis – Copy & Paste | EmojiCircle,32
Emoji Hollywood Game,28
"Travel Emojis 🚀 | Vehicles, Places, Weather & Transport – EmojiCircle",28
Emoji Minesweeper,24
Emoji Snake,24
Emoji Diversity: The Road to Representation | EmojiCircle,23
Emoji Flappy,23
"Emoji Games, Emoji Catalog & Fun Tools | EmojiCircle",22
Emoji Crush,21
Emoji Globe — Canvas,21
Emoji Personality Test,20
Contact EmojiCircle,19
Emoji Psychology: How Emojis Affect Your Brain | EmojiCircle,19
"Activity Emojis ⚽ | Sports, Awards, Arts & Celebration – EmojiCircle",18
Emoji Sequence Remember,18
Privacy Policy | EmojiCircle,18
How AI Is Changing Emojis Forever | EmojiCircle,16
Emoji Bollywood Game,14
Guess My Mood,14
Emoji Compatibility Calculator 💘 | EmojiCircle,11
Emoji Othello — EmojiCircle,11
"Object Emojis 💡 | Technology, Tools, Household Items – EmojiCircle",11
Emoji Spot the Different — EmojiCircle,10
Emoji Chess (Simple),9
♟️ Chess - EmojiCircle,9
Emoji Marketing: Why Brands Using Emojis Win | EmojiCircle,8
Heart Emojis – Copy & Paste | EmojiCircle,7
Terms & Conditions | EmojiCircle,7
Emoji Othello,6
Compatibility Calculator,4
Emoji Rock Paper Scissors | EmojiCircle,4
Angry Emojis – Copy & Paste | EmojiCircle,3
Cry Emojis – Copy & Paste | EmojiCircle,3
Emoji Chess ♟️ - Full Game,3
Fire Emojis – Copy & Paste | EmojiCircle,3
Love Emojis – Copy & Paste | EmojiCircle,3
Party Emojis – Copy & Paste | EmojiCircle,3
Sad Emojis – Copy & Paste | EmojiCircle,3
Emoji Pattern Remember,2
Smiley Emojis – Copy & Paste | EmojiCircle,2
EmojiCircle — 表情符号游戏、地球仪、图书馆与博客,1
表情符号序列 记住 🧠 |记忆模式游戏,1

#  
# Start date: 20260201
# End date: 20260729
Event name,Event count
page_view,9338
user_engagement,6563
scroll,3261
session_start,1620
first_visit,1275
click,604
view_search_results,61

# What are your top performing key events?
# Start date: 20260201
# End date: 20260729
Event name,Key events


# Where does your average 120d value come from?
# Start date: 20260201
# End date: 20260729
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20260201
# End date: 20260729
Item name,Items purchased


# How does activity on your platforms compare?
# Start date: 20260201
# End date: 20260729
Platform,Key events
